Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1958355,101 Things I Learned in Architecture School,Matthew Frederick,"Frederick, Matthew",,"=""0262062666""","=""9780262062664""",5,4.07,MIT Press,Hardcover,212,2007,2006,,2022/01/29,,,read,,,,1,,,0,,,,,
35307758,Empowering Leadership of Tomorrow,Ryszard Praszkier,"Praszkier, Ryszard",,"=""1108433804""","=""9781108433808""",0,0.0,Cambridge University Press,Paperback,262,2017,,,2022/01/25,to-read,to-read (#200),to-read,,,,0,,,0,,,,,
33206,"The Minto Pyramid Principle: Logic in Writing, Thinking, & Problem Solving",Barbara Minto,"Minto, Barbara",,"=""0960191038""","=""9780960191031""",0,3.95,Minto International,Hardcover,254,1996,1987,,2022/01/21,to-read,to-read (#199),to-read,,,,0,,,0,,,,,
204687,Spiral Dynamics,Don Edward Beck,"Beck, Don Edward",Christopher C. Cowan,"=""1405133562""","=""9781405133562""",0,4.23,Wiley-Blackwell,Paperback,352,2005,2005,,2022/01/12,to-read,to-read (#198),to-read,,,,0,,,0,,,,,
39699,Mintzberg on Management: Inside Our Strange World of Organizations,Henry Mintzberg,"Mintzberg, Henry",,"=""0029213711""","=""9780029213711""",0,4.01,Free Press,Hardcover,418,1989,1989,,2022/01/06,to-read,to-read (#197),to-read,,,,0,,,0,,,,,
13426205,The End of Leadership,Barbara Kellerman,"Kellerman, Barbara",,"=""0062069160""","=""9780062069160""",0,3.65,Harper Business,Hardcover,256,2012,2012,,2022/01/05,to-read,to-read (#196),to-read,,,,0,,,0,,,,,
42935084,"Wisdom, Analytics and Wicked Problems: Integral Decision Making for the Data Age (The Practical Wisdom in Leadership and Organization Series)",Ali Intezari,"Intezari, Ali",David Pauleen,"=""""","=""""",0,0.0,Gower,Kindle Edition,217,2018,,,2022/01/04,to-read,to-read (#195),to-read,,,,0,,,0,,,,,
22249666,"Yes, And: How Improvisation Reverses ""No, But"" Thinking and Improves Creativity and Collaboration--Lessons from The Second City",Kelly Leonard,"Leonard, Kelly",Tom Yorton,"=""0062248545""","=""9780062248541""",0,3.67,Harper Business,Hardcover,240,2015,2015,,2022/01/04,to-read,to-read (#194),to-read,,,,0,,,0,,,,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.17,Crown Business,Hardcover,195,2014,2014,,2021/12/21,to-read,to-read (#193),to-read,,,,0,,,0,,,,,
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",0,3.83,Portfolio Penguin,Hardcover,288,2018,2018,,2021/12/20,to-read,to-read (#192),to-read,,,,0,,,0,,,,,
